Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      5.30     0.00       65     0.00     0.00  void std::_Destroy<short*>(short*, short*)
  0.00      5.30     0.00       65     0.00     0.00  void std::_Destroy<short*, short>(short*, short*, std::allocator<short>&)
  0.00      5.30     0.00       62     0.00     0.00  __gnu_cxx::new_allocator<short>::deallocate(short*, unsigned long)
  0.00      5.30     0.00       62     0.00     0.00  __gnu_cxx::new_allocator<short>::allocate(unsigned long, void const*)
  0.00      5.30     0.00       62     0.00     0.00  __gnu_cxx::__normal_iterator<short*, std::vector<short, std::allocator<short> > >::difference_type __gnu_cxx::operator-<short*, std::vector<short, std::allocator<short> > >(__gnu_cxx::__normal_iterator<short*, std::vector<short, std::allocator<short> > > const&, __gnu_cxx::__normal_iterator<short*, std::vector<short, std::allocator<short> > > const&)
  0.00      5.30     0.00       62     0.00     0.00  std::vector<short, std::allocator<short> >::_M_check_len(unsigned long, char const*) const
  0.00      5.30     0.00       62     0.00     0.00  std::_Vector_base<short, std::allocator<short> >::_M_allocate(unsigned long)
  0.00      5.30     0.00       62     0.00     0.00  std::allocator_traits<std::allocator<short> >::allocate(std::allocator<short>&, unsigned long)
  0.00      5.30     0.00       62     0.00     0.00  std::vector<short, std::allocator<short> >::end()
  0.00      5.30     0.00       62     0.00     0.00  std::vector<short, std::allocator<short> >::begin()
  0.00      5.30     0.00       40     0.00     0.00  void std::vector<short, std::allocator<short> >::_M_realloc_insert<short const&>(__gnu_cxx::__normal_iterator<short*, std::vector<short, std::allocator<short> > >, short const&)
  0.00      5.30     0.00       24     0.00     0.00  void std::vector<double, std::allocator<double> >::_M_realloc_insert<double const&>(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, double const&)
  0.00      5.30     0.00       22     0.00     0.00  void std::vector<short, std::allocator<short> >::_M_realloc_insert<short>(__gnu_cxx::__normal_iterator<short*, std::vector<short, std::allocator<short> > >, short&&)
  0.00      5.30     0.00       18     0.00     0.00  swapEndian(std::vector<unsigned char, std::allocator<unsigned char> >&)
